patient_id,patient_name,ssn,dob,admission_date,discharge_date,diagnosis_code,age,gender,lab_value,outcome_readmit
P000001,Riley Garcia,328-38-2594,1943-04-30,2024-03-22,2024-03-26,K21,81,F,113.2,0
P000002,Casey Wilson,498-64-7700,1999-12-26,2023-05-15,2023-05-16,G47,24,F,90.5,0
P000003,Riley Williams,996-14-1255,1946-05-24,2021-10-18,2021-10-29,M54,75,F,91.2,0
P000004,Casey Miller,190-77-2185,2001-05-21,2021-08-01,2021-08-04,J18,20,F,80.4,0
P000005,Drew Wilson,477-20-3175,1998-02-20,2023-11-22,2023-11-28,Z00,25,F,67.8,0
P000006,Morgan Smith,869-10-9159,1980-04-07,2023-01-16,2023-01-17,I10,43,F,120.8,0
P000007,Jamie Smith,826-67-9610,1940-02-19,2023-06-26,2023-07-10,N18,83,M,112.3,0
P000008,Sam Lopez,548-85-5078,1933-12-30,2022-09-18,2022-09-25,J18,89,F,118.2,0
P000009,Casey Brown,603-36-5320,1983-04-19,2023-11-13,2023-11-24,M54,40,M,87.7,0
P000010,Drew Williams,701-98-7650,1946-06-14,2021-08-30,2021-09-10,G47,75,F,141.1,0
P000011,Morgan Johnson,837-70-5661,1994-08-22,2022-09-12,2022-09-18,N18,28,M,79.3,0
P000012,Riley Miller,839-41-9705,1944-05-27,2023-01-11,2023-01-19,I10,79,M,88.8,0
P000013,Sam Jones,150-41-2062,1940-06-13,2024-02-14,2024-02-25,Z00,84,F,117.6,0
P000014,Drew Smith,568-76-4862,1968-02-01,2024-06-07,2024-06-08,M54,56,F,91.1,0
P000015,Sam Williams,129-25-3605,1983-12-17,2021-04-03,2021-04-09,J18,38,F,112.0,0
P000016,Cameron Lopez,358-93-1216,1976-06-09,2020-08-15,2020-08-20,N18,44,F,75.4,0
P000017,Jordan Brown,356-25-1228,1975-10-08,2019-08-06,2019-08-13,F32,44,F,61.5,0
P000018,Drew Lopez,628-47-6084,1941-09-12,2020-10-08,2020-10-10,Z00,79,M,122.6,0
P000019,Sam Davis,716-48-8619,1957-01-23,2023-03-16,2023-03-18,M54,66,M,123.7,1
P000020,Drew Williams,238-67-6154,1991-07-01,2021-11-08,2021-11-18,N18,30,F,135.9,0
P000021,Morgan Miller,709-84-3153,1947-10-18,2022-03-16,2022-03-30,E11,75,F,74.5,0
P000022,Jamie Johnson,943-93-2770,1958-01-19,2019-11-14,2019-11-26,M54,61,F,102.5,0
P000023,Taylor Garcia,998-70-2047,1952-12-29,2022-10-09,2022-10-14,G47,70,M,161.0,0
P000024,Drew Garcia,837-63-7550,1935-05-20,2022-06-24,2022-07-02,K21,87,M,147.1,0
P000025,Cameron Lopez,609-55-4551,1932-05-14,2021-10-16,2021-10-24,N18,89,F,143.3,1
P000026,Alex Miller,154-35-7367,1934-12-26,2024-03-25,2024-04-04,G47,90,F,74.2,0
P000027,Cameron Brown,394-75-6518,1996-08-24,2024-03-12,2024-03-25,N18,28,M,98.0,0
P000028,Sam Lopez,586-86-3774,1970-11-14,2022-09-14,2022-09-17,N18,52,F,133.8,0
P000029,Casey Lopez,980-32-6109,1931-08-11,2019-09-28,2019-10-03,J18,88,F,21.5,0
P000030,Casey Smith,161-77-4285,2001-12-22,2019-11-03,2019-11-14,J18,18,F,80.8,0
P000031,Taylor Lopez,285-87-2833,1961-11-11,2020-10-15,2020-10-19,N18,59,M,111.9,0
P000032,Taylor Smith,489-94-4951,1988-02-16,2024-05-07,2024-05-18,E11,36,M,121.2,0
P000033,Cameron Brown,512-40-7375,1959-03-02,2020-05-08,2020-05-14,E11,61,F,135.7,0
P000034,Drew Brown,734-84-5120,1989-02-26,2024-05-19,2024-05-31,K21,35,M,117.0,0
P000035,Taylor Brown,134-38-2644,1962-01-14,2024-05-24,2024-06-03,Z00,62,M,79.6,1
P000036,Alex Jones,505-80-8539,1964-05-21,2020-09-15,2020-09-25,Z00,56,M,98.0,0
P000037,Taylor Wilson,743-71-4085,1943-05-20,2021-11-19,2021-11-30,Z00,78,M,170.6,1
P000038,Alex Brown,461-64-5399,1949-11-12,2023-09-29,2023-10-08,M54,74,F,70.3,0
P000039,Taylor Johnson,480-10-8070,1948-03-01,2024-07-26,2024-08-09,N18,76,M,67.1,0
P000040,Cameron Garcia,396-86-6034,1998-05-20,2024-11-05,2024-11-06,J18,26,M,88.2,0
P000041,Sam Davis,797-46-4459,1949-04-10,2019-03-16,2019-03-18,Z00,70,F,103.1,0
P000042,Alex Johnson,531-25-2958,1940-12-20,2023-10-22,2023-10-28,N18,83,F,122.1,0
P000043,Jamie Miller,731-71-8095,1966-03-12,2022-06-11,2022-06-24,N18,56,M,127.0,0
P000044,Drew Miller,778-10-1629,1997-07-06,2024-09-29,2024-10-10,M54,27,F,55.2,0
P000045,Drew Johnson,875-54-4819,1966-07-24,2019-07-23,2019-07-27,J18,53,M,123.1,0
P000046,Cameron Wilson,315-11-5463,1958-06-29,2023-09-27,2023-10-08,K21,65,M,80.5,0
P000047,Jordan Davis,694-70-8154,1979-05-15,2023-05-21,2023-05-22,J18,44,F,104.0,0
P000048,Drew Jones,473-84-7279,1966-03-18,2020-05-08,2020-05-22,N18,54,M,116.6,0
P000049,Alex Garcia,897-38-2902,2003-03-07,2021-09-06,2021-09-12,M54,18,M,120.0,0
P000050,Cameron Jones,963-44-1113,1980-09-23,2020-08-26,2020-08-27,J18,40,M,55.1,0
P000051,Cameron Jones,972-52-3636,1986-10-20,2021-10-24,2021-11-03,K21,35,F,90.3,0
P000052,Sam Jones,783-70-3594,1992-04-25,2019-11-17,2019-11-21,Z00,27,F,110.8,0
P000053,Morgan Wilson,193-92-9505,1955-11-16,2020-04-12,2020-04-19,F32,65,F,50.9,1
P000054,Alex Williams,602-14-5102,1973-07-05,2019-01-02,2019-01-05,R07,46,F,117.4,0
P000055,Sam Garcia,637-64-3192,1970-08-31,2022-03-15,2022-03-24,J18,52,F,92.4,1
P000056,Alex Brown,978-93-9537,1999-12-21,2019-03-17,2019-03-24,M54,20,F,56.8,0
P000057,Jordan Williams,247-89-7712,1933-12-12,2021-10-09,2021-10-18,G47,88,M,88.8,0
P000058,Sam Johnson,238-80-4924,1956-08-04,2023-09-17,2023-09-27,M54,67,F,86.3,0
P000059,Jamie Johnson,463-53-1557,1932-11-20,2020-10-08,2020-10-12,G47,88,F,102.2,0
P000060,Sam Davis,695-87-8781,1989-09-22,2019-06-01,2019-06-11,J18,30,F,127.0,1
P000061,Sam Jones,701-24-2075,1974-08-29,2024-10-10,2024-10-20,G47,50,F,137.0,0
P000062,Morgan Johnson,635-41-9090,1986-08-26,2023-11-02,2023-11-13,I10,37,M,58.9,0
P000063,Cameron Jones,645-90-8382,1945-12-27,2021-02-02,2021-02-09,M54,76,M,116.1,0
P000064,Morgan Lopez,428-61-6135,1983-12-26,2024-12-06,2024-12-15,J18,41,M,129.9,0
P000065,Morgan Williams,393-37-7749,2004-08-15,2020-09-03,2020-09-17,N18,16,F,73.4,0
P000066,Riley Brown,388-93-8191,1985-06-20,2024-12-30,2025-01-02,F32,39,F,113.2,0
P000067,Cameron Lopez,625-80-4594,1974-08-09,2023-08-28,2023-09-04,G47,49,M,88.5,1
P000068,Casey Johnson,678-49-1811,1943-10-29,2022-04-22,2022-04-27,R07,79,F,43.2,0
P000069,Jamie Davis,502-74-7003,1996-08-27,2021-05-17,2021-05-26,M54,25,F,106.1,0
P000070,Sam Smith,474-36-5467,1943-04-07,2023-12-12,2023-12-24,F32,80,F,95.0,0
P000071,Cameron Wilson,796-94-6114,1973-11-28,2022-07-31,2022-08-11,G47,49,M,78.2,0
P000072,Riley Johnson,893-32-9852,1957-01-16,2021-02-02,2021-02-13,K21,64,F,112.6,0
P000073,Morgan Johnson,477-99-8469,1964-04-01,2020-01-20,2020-01-21,Z00,56,M,97.6,0
P000074,Taylor Miller,157-25-4674,1958-12-24,2023-09-08,2023-09-15,G47,65,M,110.7,0
P000075,Jamie Garcia,567-81-7335,1965-02-21,2024-08-08,2024-08-16,Z00,59,F,83.6,0
P000076,Taylor Johnson,806-76-7009,1980-04-05,2024-02-19,2024-02-29,I10,44,M,88.8,1
P000077,Alex Jones,908-22-7326,1962-11-14,2019-05-13,2019-05-26,M54,57,M,60.3,0
P000078,Riley Brown,109-25-9632,1973-09-15,2019-04-13,2019-04-24,N18,46,M,47.0,0
P000079,Morgan Davis,390-63-3260,1984-10-03,2022-12-04,2022-12-08,E11,38,F,86.9,0
P000080,Alex Wilson,945-63-5129,1964-11-17,2021-12-08,2021-12-09,R07,57,F,143.7,0
